Bejaia Region ForestFire Datase,,,,,,,,,,,,,
day,month,year,Temperature, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes  
1,6,2012,29,57,18,0,657,34,76,13,34,5,not fire   
2,6,2012,29,61,13,13,644,41,76,1,39,4,not fire   
3,6,2012,26,82,22,131,471,25,71,3,27,1,not fire   
4,6,2012,25,89,13,25,286,13,69,0,17,0,not fire   
5,6,2012,27,77,16,0,648,3,142,12,39,5,not fire   
6,6,2012,31,67,14,0,826,58,222,31,7,25,fire   
7,6,2012,33,54,13,0,882,99,305,64,109,72,fire   
8,6,2012,30,73,15,0,866,121,383,56,135,71,fire   
9,6,2012,25,88,13,2,529,79,388,4,105,3,not fire   
10,6,2012,28,79,12,0,732,95,463,13,126,9,not fire   
11,6,2012,31,65,14,0,845,125,543,4,158,56,fire   
12,6,2012,26,81,19,0,84,138,614,48,177,71,fire   
13,6,2012,27,84,21,12,50,67,17,5,67,2,not fire   
14,6,2012,30,78,20,5,59,46,78,1,44,4,not fire   
15,6,2012,28,80,17,31,494,3,74,4,3,1,not fire   
16,6,2012,29,89,13,7,361,17,76,0,22,0,not fire   
17,6,2012,30,89,16,6,373,11,78,0,16,0,not fire   
18,6,2012,31,78,14,3,569,19,8,7,24,2,not fire   
19,6,2012,31,55,16,1,799,45,16,25,53,14,not fire   
20,6,2012,30,80,16,4,598,34,271,9,51,4,not fire   
21,6,2012,30,78,14,0,81,63,316,26,84,22,fire   
22,6,2012,31,67,17,1,791,7,395,24,97,23,not fire   
23,6,2012,32,62,18,1,814,82,477,33,115,38,fire   
24,6,2012,32,66,17,0,859,112,558,56,149,75,fire   
25,6,2012,31,64,15,0,867,142,638,57,183,84,fire   
26,6,2012,31,64,18,0,868,178,718,67,216,106,fire   
27,6,2012,34,53,18,0,89,216,803,92,258,15,fire   
28,6,2012,32,55,14,0,891,255,885,76,297,139,fire   
29,6,2012,32,47,13,3,799,184,844,22,238,39,not fire   
30,6,2012,33,50,14,0,887,229,928,72,283,129,fire   
1,7,2012,29,68,19,1,599,25,86,11,29,4,not fire   
2,7,2012,27,75,19,12,557,24,83,8,28,3,not fire   
3,7,2012,32,76,20,7,631,26,92,13,3,5,not fire   
4,7,2012,33,78,17,0,801,46,185,27,57,17,not fire   
5,7,2012,33,66,14,0,859,76,279,48,91,49,fire   
6,7,2012,32,63,14,0,87,109,37,56,125,68,fire   
7,7,2012,35,64,18,2,80,97,404,28,121,32,not fire   
8,7,2012,33,68,19,0,856,125,498,6,154,8,fire   
9,7,2012,32,68,14,14,666,77,92,11,74,6,not fire   
10,7,2012,33,69,13,7,666,6,93,11,58,5,not fire   
11,7,2012,33,76,14,0,811,81,187,26,81,22,not fire   
12,7,2012,31,75,13,1,751,79,277,15,92,9,not fire   
13,7,2012,34,81,15,0,818,97,372,3,117,34,not fire   
14,7,2012,34,61,13,6,739,78,229,14,84,8,not fire   
15,7,2012,30,80,19,4,607,52,17,11,59,5,not fire   
16,7,2012,28,76,21,0,726,7,255,7,83,4,not fire   
17,7,2012,29,70,14,0,828,94,341,32,111,36,fire   
18,7,2012,31,68,14,0,854,121,431,46,142,6,fire   
19,7,2012,35,59,17,0,881,12,528,77,182,109,fire   
20,7,2012,33,65,15,1,814,123,621,28,165,4,fire   
